hdl:1902.1/00555	development of achievement motivation
hdl:1902.1/13012	family background
hdl:1902.1/13012	youth history
hdl:1902.1/13012	demographics
hdl:1902.1/13012	household
hdl:1902.1/13012	attitudes
hdl:1902.1/13012	risky sexual behaviors
hdl:1902.1/13012	tobacco use
hdl:1902.1/13012	alcohol use
hdl:1902.1/13012	drug use
hdl:1902.1/13012	gun
hdl:1902.1/13012	arrests
hdl:1902.1/13012	crime
hdl:1902.1/13012	health
hdl:1902.1/13012	mental health
hdl:1902.1/13012	chronic condition
hdl:1902.1/13012	health related behaviors
hdl:1902.1/13012	doctor visits
hdl:1902.1/13012	political participation
hdl:1902.1/13012	urban
hdl:1902.1/13012	rural
hdl:1902.1/13012	residence
hdl:1902.1/13012	region
hdl:1902.1/13012	employer benefits
hdl:1902.1/13012	job satisfaction
hdl:1902.1/13012	shift work
hdl:1902.1/13049	kids' inpatient database
hdl:1902.1/13049	treatment outcomes
hdl:1902.1/13049	access to care
hdl:1902.1/13049	medical practice patterns
hdl:1902.1/13049	quality of care
hdl:1902.1/13049	cost of care
hdl:1902.1/13049	health policy
hdl:1902.1/13049	hcupnet
hdl:1902.1/13049	agency for healthcare research and quality
hdl:1902.1/13049	patient demographics
hdl:1902.1/13049	payment source
hdl:1902.1/13049	medicaid
hdl:1902.1/13049	medicare
hdl:1902.1/13049	private health insurance
hdl:1902.1/13049	uninsured
hdl:1902.1/13049	length of hospital stay
hdl:1902.1/13049	hospital admission
hdl:1902.1/13049	hospital discharge
hdl:1902.1/13049	hospital characteristics
hdl:1902.1/13049	healthcare
hdl:1902.1/13049	health care
hdl:1902.1/13049	nationwide inpatient sample
hdl:1902.1/13049	medical procedure
hdl:1902.1/13049	diagnosis
hdl:1902.1/13049	emergency department
hdl:1902.1/13049	ambulatory services
hdl:1902.1/13049	inpatient
hdl:1902.1/13049	state emergency department databases
hdl:1902.1/13049	state ambulatory surgery databases
hdl:1902.1/13049	state inpatient databases
hdl:1902.1/13049	nationwide emergency department sample
hdl:1902.1/14435	health care quality
hdl:1902.1/14435	and evaluation
hdl:1902.1/14435	access
hdl:1902.1/14435	minority health
hdl:1902.1/14679	party composition
hdl:1902.1/14930	party composition
hdl:1902.1/15083	regional development
hdl:1902.1/15083	united states of america
hdl:1902.1/15083	per-capita income
hdl:1902.1/15083	markov transition probability
hdl:1902.1/15083	likelihood ratio test
hdl:1902.1/15083	fdi
hdl:1902.1/15290	bantam
hdl:1902.1/15290	prereg
hdl:1902.1/15290	number of workers - non indigenous asian (low number of range)
hdl:1902.1/15290	amboina
hdl:1902.1/15290	rembang
hdl:1902.1/15290	foreman
hdl:1902.1/15290	batavia
hdl:1902.1/15290	manado
hdl:1902.1/15290	indigenous (high number of range)
hdl:1902.1/15290	djokja
hdl:1902.1/15290	kedoe
hdl:1902.1/15290	palem
hdl:1902.1/15290	non indigenous asian (high number of range)
hdl:1902.1/15290	sumatw
hdl:1902.1/15290	power source
hdl:1902.1/15290	number of workers - non indigenous asian (high number of range)
hdl:1902.1/15290	celebo
hdl:1902.1/15290	riouwo
hdl:1902.1/15290	number of workers - indigenous (high number of range)
hdl:1902.1/15290	average daily
hdl:1902.1/15290	banjoe
hdl:1902.1/15290	employment
hdl:1902.1/15290	wage
hdl:1902.1/15290	dutch east indies
hdl:1902.1/15290	indigenous (low number of range)
hdl:1902.1/15290	non indigenous asian (low number of range)
hdl:1902.1/15290	benkoel
hdl:1902.1/15290	soerabaja
hdl:1902.1/15290	20th century
hdl:1902.1/15290	kediri
hdl:1902.1/15290	skilled labor
hdl:1902.1/15290	semarang
hdl:1902.1/15290	netherlands east indies
hdl:1902.1/15290	cheribon
hdl:1902.1/15290	pasoeroean
hdl:1902.1/15290	zuider
hdl:1902.1/15290	tapan
hdl:1902.1/15290	number of establishments
hdl:1902.1/15290	besoeki
hdl:1902.1/15290	djambi
hdl:1902.1/15290	pekalongan
hdl:1902.1/15290	timor
hdl:1902.1/15290	average daily wage - simple coolies (unskilled labors)
hdl:1902.1/15290	madioen
hdl:1902.1/15290	madoera
hdl:1902.1/15290	number of workers - indigenous (low number of range)
hdl:1902.1/15290	bangka
hdl:1902.1/15290	average daily wage
hdl:1902.1/15290	tinon
hdl:1902.1/15290	westb
hdl:1902.1/15290	bali
hdl:1902.1/15407	canada
hdl:1902.1/15533	computer-assisted content analysis
hdl:1902.1/15696	vietnam
hdl:1902.1/15696	economic transition
hdl:1902.1/15696	returns to higher education
hdl:1902.1/15696	iv model
hdl:1902.1/15902	extreme right
hdl:1902.1/16343	social cost of carbon
hdl:1902.1/16343	climate change
hdl:1902.1/16749	cancer mortality
hdl:1902.1/16749	stomach cancer
hdl:1902.1/16749	international agency for research on cancer
hdl:1902.1/16749	mortality
hdl:1902.1/16749	bladder cancer
hdl:1902.1/16749	brain cancer
hdl:1902.1/16749	breast cancer
hdl:1902.1/16749	cervical cancer
hdl:1902.1/16749	colon cancer
hdl:1902.1/16749	gallbladder cancer
hdl:1902.1/16749	hodgkin lymphoma
hdl:1902.1/16749	kidney cancer
hdl:1902.1/16749	leukemia
hdl:1902.1/16749	liver cancer
hdl:1902.1/16749	lung cancer
hdl:1902.1/16749	ovarian cancer
hdl:1902.1/16749	iarc
hdl:1902.1/16749	prostate cancer
hdl:1902.1/16749	cancer
hdl:1902.1/16749	world health organization
hdl:1902.1/16749	who
hdl:1902.1/17603	egypt
hdl:1902.1/17603	social accounting matrix (sam)
hdl:1902.1/17810	indigenous fruit tree
hdl:1902.1/17810	agroforestry
hdl:1902.1/17810	propagation methods
hdl:1902.1/17810	fine roots
hdl:1902.1/18783	west africa
hdl:1902.1/18783	rice
hdl:1902.1/18783	xanthomonas oryzae pv. oryzae
hdl:1902.1/18783	pathogenecity
hdl:1902.1/18783	disease incidence
hdl:1902.1/18783	resistance
hdl:1902.1/18783	bacterial leaf blight (blb)
hdl:1902.1/18864	disorder
hdl:1902.1/18864	blight
hdl:1902.1/18864	boston
hdl:1902.1/18945	basic density
hdl:1902.1/18945	gross calorific value
hdl:1902.1/18945	moisture content
hdl:1902.1/18945	ash content
hdl:1902.1/18945	fixed carbon
hdl:1902.1/18945	volatile matter
hdl:1902.1/20177	farming
hdl:1902.1/20177	maize
hdl:1902.1/20221	planning
hdl:1902.1/20221	cadastre
hdl:1902.1/22535	civil war
hdl:1902.1/22535	battle deaths
hdl:1902.1/00738	divorce
hdl:1902.1/00864	filial obligations
hdl:1902.1/00990	abortion
hdl:1902.1/00990	political activists
hdl:1902.1/01962	election districts
hdl:1902.1/01962	congressional districts
hdl:1902.1/01962	voting precints
hdl:1902.1/01962	voting behavior
hdl:1902.1/01962	voter turnout
hdl:1902.1/01962	voter registration
hdl:1902.1/01962	state elections
hdl:1902.1/01962	redistrcting
hdl:1902.1/01962	national elections
hdl:1902.1/01962	local elections
hdl:1902.1/01962	elections
hdl:1902.1/01962	election returns
hdl:1902.1/01999	voting behavior
hdl:1902.1/01999	voter turnout
hdl:1902.1/01999	voter registration
hdl:1902.1/01999	state elections
hdl:1902.1/01999	redistrcting
hdl:1902.1/01999	national elections
hdl:1902.1/01999	voting precints
hdl:1902.1/01999	local elections
hdl:1902.1/01999	elections
hdl:1902.1/01999	election returns
hdl:1902.1/01999	election districts
hdl:1902.1/01999	congressional districts
hdl:1902.1/10502	multinational corporations
hdl:1902.1/10502	foreign direct investment
hdl:1902.1/10502	globalization
hdl:1902.1/10502	labor rights
hdl:1902.1/11024	attitudes
hdl:1902.1/11024	consumer behavior
hdl:1902.1/11024	education
hdl:1902.1/11024	furniture
hdl:1902.1/11024	public opinion
hdl:1902.1/11024	radios
hdl:1902.1/11024	durable goods
hdl:1902.1/11024	consumer purchases
hdl:1902.1/11024	womens movement
hdl:1902.1/11024	home ownership
hdl:1902.1/11024	automobile ownership
hdl:1902.1/11024	property repairs
hdl:1902.1/11024	shopping
hdl:1902.1/11024	newspapers
hdl:1902.1/11024	food
hdl:1902.1/11024	consumer attitudes
hdl:1902.1/11024	social values
hdl:1902.1/11024	social attitudes
hdl:1902.1/11024	research
hdl:1902.1/11024	news media
hdl:1902.1/11024	leisure
hdl:1902.1/11024	psychographics
hdl:1902.1/11024	medical care
hdl:1902.1/11024	trust
hdl:1902.1/11024	biographical data
hdl:1902.1/11024	media use
hdl:1902.1/11024	marketing
hdl:1902.1/11024	health insurance
hdl:1902.1/11024	occupation
hdl:1902.1/11024	political ideologies
hdl:1902.1/11024	restaurants
hdl:1902.1/11024	products
hdl:1902.1/11024	personal income
hdl:1902.1/11024	banking
hdl:1902.1/11024	television viewing
hdl:1902.1/11024	perceptions
hdl:1902.1/12528	colon cancer
hdl:1902.1/12528	bladder cancer
hdl:1902.1/12528	skin cancer
hdl:1902.1/12528	leukemia
hdl:1902.1/12528	pancreatic cancer
hdl:1902.1/12528	cdc
hdl:1902.1/12528	centers for disease control and prevention
hdl:1902.1/12528	tumor type
hdl:1902.1/12528	brain cancer
hdl:1902.1/12528	childhood cancer
hdl:1902.1/12528	breast cancer
hdl:1902.1/12528	nci
hdl:1902.1/12528	national cancer institute
hdl:1902.1/12528	north american association of central cancer registries
hdl:1902.1/12528	naaccr
hdl:1902.1/12528	cancer
hdl:1902.1/12528	incidence
hdl:1902.1/12528	mortality
hdl:1902.1/12528	child
hdl:1902.1/12528	prostate cancer
hdl:1902.1/12528	lung cancer
hdl:1902.1/12573	industry
hdl:1902.1/12573	occupation
hdl:1902.1/12573	occupational health
hdl:1902.1/12573	niosh
hdl:1902.1/12573	national institute for occupational safety and health
hdl:1902.1/12573	cdc
hdl:1902.1/12573	centers for disease control and prevention
hdl:1902.1/12573	vapors
hdl:1902.1/12573	hypersensitivity pneumonitis
hdl:1902.1/12573	malignant mesothelioma
hdl:1902.1/12573	pneumoconiosis
hdl:1902.1/12573	asbestosis
hdl:1902.1/12573	byssinosis
hdl:1902.1/12573	coal workers’ pneumoconiosis
hdl:1902.1/12573	silicosis
hdl:1902.1/12573	asthma
hdl:1902.1/12573	chronic obstructive pulmonary disease
hdl:1902.1/12573	copd
hdl:1902.1/12573	bronchitis
hdl:1902.1/12573	chronic bronchitis
hdl:1902.1/12573	emphysema
hdl:1902.1/12573	bronchiectasis
hdl:1902.1/12573	influenza
hdl:1902.1/12573	lung cancer
hdl:1902.1/12573	malignant neoplasm
hdl:1902.1/12573	mycobacterial infections
hdl:1902.1/12573	interstitial pulmonary diseases
hdl:1902.1/12573	pleural plaque
hdl:1902.1/12573	pneumonia
hdl:1902.1/12573	tuberculosis
hdl:1902.1/12573	respiratory tuberculosis
hdl:1902.1/12573	pulmonary tuberculosis
hdl:1902.1/12573	chemical fumes
hdl:1902.1/12573	pulmonary conditions
hdl:1902.1/12573	respiratory conditions
hdl:1902.1/12573	mortality
hdl:1902.1/12609	gang juvenile "new jersey" homicides "drug offenses"
hdl:1902.1/12942	millennium development goals
hdl:1902.1/12942	welfare and poverty
hdl:1902.1/12979	financial development
hdl:1902.1/12979	economic growth
hdl:1902.1/12979	law
hdl:1902.1/12979	financial structure
hdl:1902.1/13013	demographics
hdl:1902.1/13013	age
hdl:1902.1/13013	sex
hdl:1902.1/13013	race
hdl:1902.1/13013	ethnicity
hdl:1902.1/13013	gender
hdl:1902.1/13013	parental education
hdl:1902.1/13013	parental employment
hdl:1902.1/13013	household
hdl:1902.1/13013	risk behaviors
hdl:1902.1/13013	future expectations
hdl:1902.1/13013	self esteem
hdl:1902.1/13013	health status
hdl:1902.1/13013	friendship
hdl:1902.1/13013	nutrition
hdl:1902.1/13013	peer networks
hdl:1902.1/13013	decision making processes
hdl:1902.1/13013	substance use
hdl:1902.1/13013	criminal activities
hdl:1902.1/13013	sexual partnerships
hdl:1902.1/13013	educational aspirations
hdl:1902.1/13013	employment
hdl:1902.1/13013	parent adolescent communication
hdl:1902.1/13013	inheritable health conditions
hdl:1902.1/13013	marriage
hdl:1902.1/13013	national
hdl:1902.1/13013	activities of daily living
hdl:1902.1/13013	civic engagement
hdl:1902.1/13013	drugs
hdl:1902.1/13013	alcohol
hdl:1902.1/13013	tobacco
hdl:1902.1/13013	violence
hdl:1902.1/13013	parenting
hdl:1902.1/13013	live births
hdl:1902.1/13013	pregnancy
hdl:1902.1/13013	sti
hdl:1902.1/13013	sexually transmitted infections
hdl:1902.1/13013	sexually transmitted disease
hdl:1902.1/13013	std
hdl:1902.1/13013	sexual experience
hdl:1902.1/13013	mental health
hdl:1902.1/13013	medication
hdl:1902.1/13013	illnesses
hdl:1902.1/13013	health insurance
hdl:1902.1/13013	access to care
hdl:1902.1/13013	general diet
hdl:1902.1/13013	general health
hdl:1902.1/13013	relationships
hdl:1902.1/13013	childbearing
hdl:1902.1/13013	weight
hdl:1902.1/13013	height
hdl:1902.1/13013	disability
hdl:1902.1/13013	sun exposure
hdl:1902.1/13013	household income
hdl:1902.1/13013	neighborhood
hdl:1902.1/13013	national institute for child health and human development
hdl:1902.1/13013	adolescent
hdl:1902.1/13013	youth
hdl:1902.1/13013	transition to adulthood
hdl:1902.1/13013	young adult
hdl:1902.1/14481	party composition
hdl:1902.1/14562	party composition
hdl:1902.1/14599	firm-level surveys
hdl:1902.1/14599	innovation
hdl:1902.1/14599	the world bank
hdl:1902.1/14599	investment climate
hdl:1902.1/14599	technology
hdl:1902.1/14599	development
hdl:1902.1/14643	party composition
hdl:1902.1/14850	party composition
hdl:1902.1/14887	party composition
hdl:1902.1/14931	economy
hdl:1902.1/14931	consumer confidence
hdl:1902.1/14931	jobs
hdl:1902.1/14931	population growth
hdl:1902.1/14931	transportation
hdl:1902.1/14931	politics
hdl:1902.1/14931	environment
hdl:1902.1/14931	crime
hdl:1902.1/14931	proposition 170
hdl:1902.1/14931	proposition 172
hdl:1902.1/14931	crime
hdl:1902.1/14931	proposition 174
hdl:1902.1/14931	unemployment
hdl:1902.1/14931	el toro airport
hdl:1902.1/15291	bondowoso
hdl:1902.1/15291	east java
hdl:1902.1/15291	rembang
hdl:1902.1/15291	diphtheria cases
hdl:1902.1/15291	batavia
hdl:1902.1/15291	plague cases
hdl:1902.1/15291	kedoe
hdl:1902.1/15291	krawang
hdl:1902.1/15291	probolinggo
hdl:1902.1/15291	typhoid fever cases
hdl:1902.1/15291	diphtheria deaths
hdl:1902.1/15291	meningitis cerecrospinalis cases
hdl:1902.1/15291	west priangan
hdl:1902.1/15291	grisee
hdl:1902.1/15291	buitenzorg
hdl:1902.1/15291	klaten
hdl:1902.1/15291	koedoes
hdl:1902.1/15291	typhoid fever deaths
hdl:1902.1/15291	diseases
hdl:1902.1/15291	smallpox cases
hdl:1902.1/15291	soerakarta
hdl:1902.1/15291	bagelen
hdl:1902.1/15291	wonosobo
hdl:1902.1/15291	mid-java
hdl:1902.1/15291	bodjonegoro
hdl:1902.1/15291	ponorogo
hdl:1902.1/15291	plague deaths
hdl:1902.1/15291	modjokerto
hdl:1902.1/15291	djember
hdl:1902.1/15291	blora
hdl:1902.1/15291	meningitis cerecrospinalis deaths
hdl:1902.1/15291	north-banjoemas
hdl:1902.1/15291	west-madoera
hdl:1902.1/15291	pekalongan
hdl:1902.1/15291	cheribon
hdl:1902.1/15291	east-madoera
hdl:1902.1/15291	teqal
hdl:1902.1/15291	dutch east indies
hdl:1902.1/15291	paratyphoid fever a deaths
hdl:1902.1/15291	smallpox deaths
hdl:1902.1/15291	south-banjoemas
hdl:1902.1/15291	midden-priangan
hdl:1902.1/15291	paratyphoid fever a cases
hdl:1902.1/15291	indramajoe
hdl:1902.1/15291	soerabaja
hdl:1902.1/15291	20th century
hdl:1902.1/15291	malang
hdl:1902.1/15291	east-priangan
hdl:1902.1/15291	kediri
hdl:1902.1/15291	bacillary dysentery deaths
hdl:1902.1/15291	semarang
hdl:1902.1/15291	netherlands east indies
hdl:1902.1/15291	west java
hdl:1902.1/15291	pasoeroean
hdl:1902.1/15291	blitar
hdl:1902.1/15291	bacillary dysentery cases
hdl:1902.1/15291	madioen
hdl:1902.1/15291	java
hdl:1902.1/15291	jogjakarta
hdl:1902.1/15291	bantam
hdl:1902.1/15534	implicit social cognition
hdl:1902.1/16506	regressão linear
hdl:1902.1/16876	traffic safety
hdl:1902.1/16876	highway safety
hdl:1902.1/16876	national highway traffic safety administration
hdl:1902.1/16876	highway crashes
hdl:1902.1/16876	highway motor vehicle crashes
hdl:1902.1/16876	highway fatality
hdl:1902.1/16876	highway fatalities
hdl:1902.1/16876	highway accidents
hdl:1902.1/16876	motor vehicle crash
hdl:1902.1/16876	traffic crashes
hdl:1902.1/16876	car crashes
hdl:1902.1/16876	drowsy driving
hdl:1902.1/16876	motor vehicle fatality
hdl:1902.1/16876	motor vehicle fatalities
hdl:1902.1/16876	motor vehicle accident
hdl:1902.1/16876	motor vehicle crashes
hdl:1902.1/16876	traffic accidents
hdl:1902.1/16876	car accidents
hdl:1902.1/16876	helmet accident
hdl:1902.1/16876	helmet use
hdl:1902.1/16876	motorcycles
hdl:1902.1/16876	air bags
hdl:1902.1/16876	dwi
hdl:1902.1/16876	dui
hdl:1902.1/16876	driving under the influence
hdl:1902.1/16876	vehicle injury
hdl:1902.1/16876	vehicle injuries
hdl:1902.1/16876	car injury
hdl:1902.1/16876	car injuries
hdl:1902.1/16876	vehicle crash
hdl:1902.1/16876	car crash
hdl:1902.1/16876	vehicle fatalities
hdl:1902.1/16876	vehicle fatality
hdl:1902.1/16876	car fatalities
hdl:1902.1/16876	car fatality
hdl:1902.1/16876	traffic fatalities
hdl:1902.1/16876	traffic fatality
hdl:1902.1/16876	car accidents
hdl:1902.1/16876	traffic accidents
hdl:1902.1/17073	manifesto project
hdl:1902.1/17073	policy salience
hdl:1902.1/17073	comparative manifesto project
hdl:1902.1/17073	policy position
hdl:1902.1/17073	scaling models
hdl:1902.1/17073	issue salience
hdl:1902.1/17604	disaggregated sam
hdl:1902.1/17604	egypt
hdl:1902.1/17604	social accounting matrix (sam)
hdl:1902.1/17730	leaf area
hdl:1902.1/17730	substrate
hdl:1902.1/17730	garcinia lucida
hdl:1902.1/20178	palm oil
hdl:1902.1/20178	farming
hdl:1902.1/20222	society
hdl:1902.1/20222	population
hdl:1902.1/20222	economy
hdl:1902.1/22536	battle deaths
hdl:1902.1/22536	conflict
hdl:1902.1/01099	female-headed households
hdl:1902.1/01099	low-income
hdl:1902.1/01099	children
hdl:1902.1/01099	homelessness
hdl:1902.1/01099	families
hdl:1902.1/01963	congressional districts
hdl:1902.1/01963	voting precints
hdl:1902.1/01963	voting behavior
hdl:1902.1/01963	voter turnout
hdl:1902.1/01963	voter registration
hdl:1902.1/01963	state elections
hdl:1902.1/01963	redistrcting
hdl:1902.1/01963	national elections
hdl:1902.1/01963	local elections
hdl:1902.1/01963	elections
hdl:1902.1/01963	election returns
hdl:1902.1/01963	election districts
hdl:1902.1/11025	attitudes
hdl:1902.1/11025	consumer behavior
hdl:1902.1/11025	education
hdl:1902.1/11025	furniture
hdl:1902.1/11025	public opinion
hdl:1902.1/11025	radios
hdl:1902.1/11025	durable goods
hdl:1902.1/11025	consumer purchases
hdl:1902.1/11025	womens movement
hdl:1902.1/11025	home ownership
hdl:1902.1/11025	automobile ownership
hdl:1902.1/11025	property repairs
hdl:1902.1/11025	shopping
hdl:1902.1/11025	newspapers
hdl:1902.1/11025	food
hdl:1902.1/11025	consumer attitudes
hdl:1902.1/11025	social values
hdl:1902.1/11025	social attitudes
hdl:1902.1/11025	research
hdl:1902.1/11025	news media
hdl:1902.1/11025	leisure
hdl:1902.1/11025	psychographics
hdl:1902.1/11025	medical care
hdl:1902.1/11025	trust
hdl:1902.1/11025	biographical data
hdl:1902.1/11025	media use
hdl:1902.1/11025	marketing
hdl:1902.1/11025	health insurance
hdl:1902.1/11025	occupation
hdl:1902.1/11025	political ideologies
hdl:1902.1/11025	restaurants
hdl:1902.1/11025	products
hdl:1902.1/11025	personal income
hdl:1902.1/11025	banking
hdl:1902.1/11025	television viewing
hdl:1902.1/11025	perceptions
hdl:1902.1/12367	patent
hdl:1902.1/12367	disambiguation
hdl:1902.1/12367	innovation
hdl:1902.1/12529	safe neighborhoods
hdl:1902.1/12529	metropolitan
hdl:1902.1/12529	race
hdl:1902.1/12529	ethnicity
hdl:1902.1/12529	diversity
hdl:1902.1/12529	housing
hdl:1902.1/12529	education
hdl:1902.1/12529	crime
hdl:1902.1/12529	residential integration
hdl:1902.1/12529	neighborhood
hdl:1902.1/12529	physical environment
hdl:1902.1/12529	economic opportunity
hdl:1902.1/12529	disabilities
hdl:1902.1/12529	health insurance
hdl:1902.1/12529	healthcare
hdl:1902.1/12529	health care
hdl:1902.1/12529	prenatal care
hdl:1902.1/12529	smoking
hdl:1902.1/12529	preterm birth
hdl:1902.1/12529	low birth weight
hdl:1902.1/12529	domestic migration
hdl:1902.1/12529	international migration
hdl:1902.1/12529	immigrants
hdl:1902.1/12529	language
hdl:1902.1/12529	home ownership
hdl:1902.1/12529	household crowding
hdl:1902.1/12529	home affordability
hdl:1902.1/12529	mortgage lending
hdl:1902.1/12529	home loan
hdl:1902.1/12529	conventional home loan
hdl:1902.1/12529	overcrowding
hdl:1902.1/12529	vacancy
hdl:1902.1/12529	subsidized housing
hdl:1902.1/12529	neighborhood poverty
hdl:1902.1/12529	income inequality
hdl:1902.1/12529	gini index
hdl:1902.1/12529	robin hood index
hdl:1902.1/12529	20-80 poverty ratio
hdl:1902.1/12529	poverty
hdl:1902.1/12529	racial income inequality
hdl:1902.1/12529	food stamps
hdl:1902.1/12529	employment
hdl:1902.1/12529	business ownership
hdl:1902.1/12529	business firms
hdl:1902.1/12529	commuting
hdl:1902.1/12529	public transportation
hdl:1902.1/12529	private vehicle
hdl:1902.1/12529	car
hdl:1902.1/12529	school enrollment
hdl:1902.1/12529	segregation
hdl:1902.1/12529	public housing
hdl:1902.1/12529	unemployment
hdl:1902.1/12529	housing stock
hdl:1902.1/12529	murder
hdl:1902.1/12529	rape
hdl:1902.1/12529	robbery
hdl:1902.1/12529	assault
hdl:1902.1/12529	burglary
hdl:1902.1/12529	larceny
hdl:1902.1/12529	motor vehicle theft
hdl:1902.1/12529	gun
hdl:1902.1/12529	violence
hdl:1902.1/12529	population density
hdl:1902.1/12529	residential sprawl
hdl:1902.1/12529	travel congestion
hdl:1902.1/12574	centers for disease control and prevention
hdl:1902.1/12574	tobacco use
hdl:1902.1/12574	smoking
hdl:1902.1/12574	influenza
hdl:1902.1/12574	pneumonia
hdl:1902.1/12574	interstitial pulmonary disease
hdl:1902.1/12574	lung cancer
hdl:1902.1/12574	respiratory tuberculosis
hdl:1902.1/12574	toxic agents
hdl:1902.1/12574	copd
hdl:1902.1/12574	chronic obstructive pulmonary disease
hdl:1902.1/12574	hypersensitivity pneumonitis
hdl:1902.1/12574	malignant mesothelioma
hdl:1902.1/12574	byssinosis
hdl:1902.1/12574	silicosis
hdl:1902.1/12574	black lung
hdl:1902.1/12574	coal mine dust exposure
hdl:1902.1/12574	coal workers' pneumoconiosis
hdl:1902.1/12574	asbestosis
hdl:1902.1/12574	pneumonconiosis
hdl:1902.1/12574	asthma
hdl:1902.1/12574	airway disease
hdl:1902.1/12574	respiratory disease
hdl:1902.1/12574	retail trade
hdl:1902.1/12574	wholesale trade
hdl:1902.1/12574	transportation
hdl:1902.1/12574	mining
hdl:1902.1/12574	manufacturing
hdl:1902.1/12574	social assistance
hdl:1902.1/12574	health insurance
hdl:1902.1/12574	healthcare
hdl:1902.1/12574	health care
hdl:1902.1/12574	construction
hdl:1902.1/12574	fishing
hdl:1902.1/12574	forestry
hdl:1902.1/12574	agriculture
hdl:1902.1/12574	respiratory condition
hdl:1902.1/12574	industry
hdl:1902.1/12574	occupation
hdl:1902.1/12574	niosh
hdl:1902.1/12574	national institute for occupational safety and health
hdl:1902.1/12574	cdc
hdl:1902.1/13177	military
hdl:1902.1/14482	party composition
hdl:1902.1/14644	party composition
hdl:1902.1/14851	party composition
hdl:1902.1/14932	housing
hdl:1902.1/14932	pollution
hdl:1902.1/14932	jobs
hdl:1902.1/14932	environment
hdl:1902.1/14932	transportation
hdl:1902.1/14932	economy
hdl:1902.1/14932	consumer confidence
hdl:1902.1/14932	carpooling
hdl:1902.1/14932	politics
hdl:1902.1/14932	senate race
hdl:1902.1/14932	social issues
hdl:1902.1/15292	indigenous
hdl:1902.1/15292	netherlands east indies
hdl:1902.1/15292	indigenous plus non indigenous asian
hdl:1902.1/15292	income distribution
hdl:1902.1/15292	20th century
hdl:1902.1/15292	dutch east indies
hdl:1902.1/15292	non indigenous asian
hdl:1902.1/15580	household- and community-level surveys
hdl:1902.1/16020	rank correlations
hdl:1902.1/16020	comparing performance measures
hdl:1902.1/16020	performance measurement
hdl:1902.1/16633	trade  facilitation
hdl:1902.1/16633	endogenous  productivity  effects
hdl:1902.1/16633	foreign  direct investment
hdl:1902.1/16633	monopolistic  competition
hdl:1902.1/16633	multinationals
hdl:1902.1/16633	preferential  liberalization
hdl:1902.1/16633	standards  harmonization
hdl:1902.1/16633	services  liberalization
hdl:1902.1/17074	immigration courts
hdl:1902.1/17074	asylum adjudication
hdl:1902.1/17074	immigration judges
hdl:1902.1/17236	party composition
hdl:1902.1/17281	social accounting matrix sam
hdl:1902.1/17281	micro sam
hdl:1902.1/17281	macro sam
hdl:1902.1/17281	malawi
hdl:1902.1/17605	social accounting matrix (sam)
hdl:1902.1/17605	el salvador
hdl:1902.1/17812	séquestration
hdl:1902.1/17812	payement des services environnementaux
hdl:1902.1/17812	mécanisme de développement propre
hdl:1902.1/17812	carbone
hdl:1902.1/17812	valeur écologique
hdl:1902.1/17812	propagules
hdl:1902.1/17849	acceptability
hdl:1902.1/17849	yield
hdl:1902.1/17849	ricinodendron cracking machine
hdl:1902.1/18578	east africa
hdl:1902.1/18578	poverty reduction
hdl:1902.1/18578	agricultural growth
hdl:1902.1/18578	state
hdl:1902.1/18578	poverty
hdl:1902.1/18578	rural development
hdl:1902.1/18578	case studies
hdl:1902.1/18578	economic aspects
hdl:1902.1/18578	agricultural eonomics
hdl:1902.1/18578	computable general equilibrium (cge) modeling
hdl:1902.1/18578	africa south of sahara
hdl:1902.1/18578	social accounting matrix (sam)
hdl:1902.1/18578	africa
hdl:1902.1/18578	malawi
hdl:1902.1/20061	land use
hdl:1902.1/20223	population
hdl:1902.1/20223	poverty
hdl:1902.1/3OQEO	ors
hdl:1902.1/3OQEO	caregivers
hdl:1902.1/3OQEO	cu5
hdl:1902.1/3OQEO	diarrhea
hdl:1902.1/3OQEO	trac
hdl:1902.1/01964	congressional districts
hdl:1902.1/01964	voting precints
hdl:1902.1/01964	voting behavior
hdl:1902.1/01964	voter turnout
hdl:1902.1/01964	voter registration
hdl:1902.1/01964	state elections
hdl:1902.1/01964	redistrcting
hdl:1902.1/01964	national elections
hdl:1902.1/01964	local elections
hdl:1902.1/01964	elections
hdl:1902.1/01964	election returns
hdl:1902.1/01964	election districts
hdl:1902.1/05IFB	family planning
hdl:1902.1/05IFB	hiv
hdl:1902.1/05IFB	reproductive health
hdl:1902.1/05IFB	trac
hdl:1902.1/05IFB	edutainment
hdl:1902.1/05IFB	urban
hdl:1902.1/0QIGW	itn
hdl:1902.1/0QIGW	water treatment
hdl:1902.1/0QIGW	diarrhea
hdl:1902.1/0QIGW	condom
hdl:1902.1/0QIGW	ors
hdl:1902.1/0QIGW	child survival
hdl:1902.1/0QIGW	hiv
hdl:1902.1/10379	altruism
hdl:1902.1/10379	voter
hdl:1902.1/10379	dictator game
hdl:1902.1/10379	turnout
hdl:1902.1/11026	attitudes
hdl:1902.1/11026	consumer behavior
hdl:1902.1/11026	education
hdl:1902.1/11026	furniture
hdl:1902.1/11026	public opinion
hdl:1902.1/11026	radios
hdl:1902.1/11026	durable goods
hdl:1902.1/11026	consumer purchases
hdl:1902.1/11026	womens movement
